Title,Author,Rank,Genre
The Summer of the Swans,Betsy Cromer Byars,428,gen_fiction
Dangerous Liaisons,Choderlos de Laclos,429,gen_fiction
Jurassic Park,Michael Crichton,430,scifi
The Absolutely True Diary of a Part-time Indian,Sherman Alexie,431,gen_fiction
The Grey King,Susan Cooper,432,fantasy
The Leopard,Giuseppe Tomasi di Lampedusa,433,history
The Mammoth Hunters,Jean M. Auel,434,history
The Trumpet of the Swan,E.B. White,435,fantasy
The Lucky One,Nicholas Sparks,436,romance
These Happy Golden Years,Laura Ingalls Wilder,437,history
Arrowsmith,Sinclair Lewis,438,gen_fiction
Julie of the Wolves,Jean Craighead George,439,action
The Screwtape Letters,C.S. Lewis,440,gen_fiction
The Fall,Albert Camus,441,gen_fiction
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,442,mystery
Worst Case,James Patterson,443,thrillers
Lost Horizon,James Hilton,444,fantasy
The Gunslinger,Stephen King,445,fantasy
The Slave Dancer,Paula Fox,446,history
Harry Potter and the Half-Blood Prince,J.K. Rowling,447,fantasy
Inkheart,Cornelia Funke,448,fantasy
Ramona and her Father,Beverly Cleary,449,gen_fiction
Inkspell,Cornelia Funke,450,fantasy
Ramona the Pest,Beverly Cleary,451,gen_fiction
Walk Two Moons,Sharon Creech,452,bildung
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,453,gen_fiction
The Chocolate War,Robert Cormier,454,bildung
Sophie's Choice,William Styron,455,bildung
Looking for Alaska,John Green,456,bildung
Breakfast at Tiffany's,Truman Capote,457,gen_fiction
The Razor's Edge,W. Somerset Maugham,458,bildung
Dreamcatcher,Stephen King,459,horror
Orlando,Virginia Woolf,460,history
The Things they Carried,Tim O'Brien,461,gen_fiction
Little Town on the Prairie,Laura Ingalls Wilder,462,history
Nights in Rodanthe,Nicholas Sparks,463,romance
The Amber Spyglass,Philip Pullman,464,fantasy
The Miraculous Journey of Edward Tulane,Kate DiCamillo,465,gen_fiction
Flatland,Edwin A. Abbott,466,gen_fiction
Diary of a Wimpy Kid,Jeff  Kinney,467,gen_fiction
The Memory Keeper's Daughter,Kim Edwards,468,gen_fiction
The Wedding,Nicholas Sparks,469,romance
Fried Green Tomatoes at the Whistle-Stop Cafe,Fannie Flagg,470,gen_fiction
The Cricket in Times Square,George Selden,471,gen_fiction
The Phantom Tollbooth,Norton Juster,472,fantasy
Rob Roy,Walter Scott,473,history
The Death of Ivan Ilych,Leo Tolstoy,474,gen_fiction
Alex Cross's Trial,James Patterson,475,thrillers
Kenilworth,Walter Scott,476,history
The Life and Opinions of Tristram Shandy,Laurence Sterne,477,gen_fiction
The Remains of theDay,Kazuo Ishiguro,478,history
"M.C. Higgins, The Great",Virginia Hamilton,479,bildung
Call It Courage,Armstrong Sperry,480,history
Go Set a Watchman,Harper Lee,481,gen_fiction
Bleachers,John Grisham,482,gen_fiction
Elijah of Buxton,Christopher Paul Curtis,483,gen_fiction
Swimsuit,James Patterson,484,mystery
Cat's Cradle,Kurt Vonnegut,485,scifi
The Caine Mutiny,Herman Wouk,486,gen_fiction
The Heart of the Matter,Graham Greene,487,gen_fiction
"Harriet, the Spy",Louise Fitzhugh,488,mystery
Darkness at Noon,Arthur Koestler,489,history
A Prayer for Owen Meany,John Irving,490,gen_fiction
The God of Small Things,Arundhati Roy,491,gen_fiction
The Associate,John Grisham,492,thrillers
The Shack,William P. Young,493,gen_fiction
The Naked and the Dead,Norman Mailer,494,history
The Sea of Monsters,Rick Riordan,495,fantasy
Stranger in a Strange Land,Robert A. Heinlein,496,scifi
Vision in White,Nora Roberts,497,romance
The Whipping Boy,Sid Fleischman,498,action
Room,Emma Donoghue,499,gen_fiction
Deception Point,Dan Brown,500,political
